,id,name,thumbnail,highlight,webm.480,webm.max,mp4.480,mp4.max,steam_appid
1,256684300,Bombinator - Game Play - Map 6x6 - Theme Deep Space,https://cdn.akamai.steamstatic.com/steam/apps/256684300/movie.293x165.jpg?t=1494013595,True,http://cdn.akamai.steamstatic.com/steam/apps/256684300/movie480.webm?t=1494013595,http://cdn.akamai.steamstatic.com/steam/apps/256684300/movie_max.webm?t=1494013595,http://cdn.akamai.steamstatic.com/steam/apps/256684300/movie480.mp4?t=1494013595,http://cdn.akamai.steamstatic.com/steam/apps/256684300/movie_max.mp4?t=1494013595,612610
2,256684299,Bombinator - Game Play - Map 6x6 - Theme Greenlands,https://cdn.akamai.steamstatic.com/steam/apps/256684299/movie.293x165.jpg?t=1494013602,True,http://cdn.akamai.steamstatic.com/steam/apps/256684299/movie480.webm?t=1494013602,http://cdn.akamai.steamstatic.com/steam/apps/256684299/movie_max.webm?t=1494013602,http://cdn.akamai.steamstatic.com/steam/apps/256684299/movie480.mp4?t=1494013602,http://cdn.akamai.steamstatic.com/steam/apps/256684299/movie_max.mp4?t=1494013602,612610
3,256684301,Bombinator - Game Play - Map 6x6 - Theme City,https://cdn.akamai.steamstatic.com/steam/apps/256684301/movie.293x165.jpg?t=1494013610,True,http://cdn.akamai.steamstatic.com/steam/apps/256684301/movie480.webm?t=1494013610,http://cdn.akamai.steamstatic.com/steam/apps/256684301/movie_max.webm?t=1494013610,http://cdn.akamai.steamstatic.com/steam/apps/256684301/movie480.mp4?t=1494013610,http://cdn.akamai.steamstatic.com/steam/apps/256684301/movie_max.mp4?t=1494013610,612610
0,256681773,Detective Butler: Maiden Voyage Murder Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681773/movie.293x165.jpg?t=1494970050,True,http://cdn.akamai.steamstatic.com/steam/apps/256681773/movie480.webm?t=1494970050,http://cdn.akamai.steamstatic.com/steam/apps/256681773/movie_max.webm?t=1494970050,http://cdn.akamai.steamstatic.com/steam/apps/256681773/movie480.mp4?t=1494970050,http://cdn.akamai.steamstatic.com/steam/apps/256681773/movie_max.mp4?t=1494970050,612620
1,256681956,Detective Butler: Maiden Voyage Murder Opening Movie,https://cdn.akamai.steamstatic.com/steam/apps/256681956/movie.293x165.jpg?t=1494970061,True,http://cdn.akamai.steamstatic.com/steam/apps/256681956/movie480.webm?t=1494970061,http://cdn.akamai.steamstatic.com/steam/apps/256681956/movie_max.webm?t=1494970061,http://cdn.akamai.steamstatic.com/steam/apps/256681956/movie480.mp4?t=1494970061,http://cdn.akamai.steamstatic.com/steam/apps/256681956/movie_max.mp4?t=1494970061,612620
0,256789192,Dunk Lords Launch Trailer (v2),https://cdn.akamai.steamstatic.com/steam/apps/256789192/movie.293x165.jpg?t=1592152386,True,http://cdn.akamai.steamstatic.com/steam/apps/256789192/movie480_vp9.webm?t=1592152386,http://cdn.akamai.steamstatic.com/steam/apps/256789192/movie_max_vp9.webm?t=1592152386,http://cdn.akamai.steamstatic.com/steam/apps/256789192/movie480.mp4?t=1592152386,http://cdn.akamai.steamstatic.com/steam/apps/256789192/movie_max.mp4?t=1592152386,612640
0,256694030,Steam Store Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256694030/movie.293x165.jpg?t=1504090694,True,http://cdn.akamai.steamstatic.com/steam/apps/256694030/movie480.webm?t=1504090694,http://cdn.akamai.steamstatic.com/steam/apps/256694030/movie_max.webm?t=1504090694,http://cdn.akamai.steamstatic.com/steam/apps/256694030/movie480.mp4?t=1504090694,http://cdn.akamai.steamstatic.com/steam/apps/256694030/movie_max.mp4?t=1504090694,612660
0,256682519,Beta Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256682519/movie.293x165.jpg?t=1491985374,True,http://cdn.akamai.steamstatic.com/steam/apps/256682519/movie480.webm?t=1491985374,http://cdn.akamai.steamstatic.com/steam/apps/256682519/movie_max.webm?t=1491985374,http://cdn.akamai.steamstatic.com/steam/apps/256682519/movie480.mp4?t=1491985374,http://cdn.akamai.steamstatic.com/steam/apps/256682519/movie_max.mp4?t=1491985374,612670
0,256823313,Update 28,https://cdn.akamai.steamstatic.com/steam/apps/256823313/movie.293x165.jpg?t=1613982605,True,http://cdn.akamai.steamstatic.com/steam/apps/256823313/movie480_vp9.webm?t=1613982605,http://cdn.akamai.steamstatic.com/steam/apps/256823313/movie_max_vp9.webm?t=1613982605,http://cdn.akamai.steamstatic.com/steam/apps/256823313/movie480.mp4?t=1613982605,http://cdn.akamai.steamstatic.com/steam/apps/256823313/movie_max.mp4?t=1613982605,612720
0,256681657,Bill Hicks: Reflections - Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681657/movie.293x165.jpg?t=1490716379,True,http://cdn.akamai.steamstatic.com/steam/apps/256681657/movie480.webm?t=1490716379,http://cdn.akamai.steamstatic.com/steam/apps/256681657/movie_max.webm?t=1490716379,http://cdn.akamai.steamstatic.com/steam/apps/256681657/movie480.mp4?t=1490716379,http://cdn.akamai.steamstatic.com/steam/apps/256681657/movie_max.mp4?t=1490716379,612730
0,256683493,BOKIDA - Launch date announcement trailer,https://cdn.akamai.steamstatic.com/steam/apps/256683493/movie.293x165.jpg?t=1493175841,True,http://cdn.akamai.steamstatic.com/steam/apps/256683493/movie480.webm?t=1493175841,http://cdn.akamai.steamstatic.com/steam/apps/256683493/movie_max.webm?t=1493175841,http://cdn.akamai.steamstatic.com/steam/apps/256683493/movie480.mp4?t=1493175841,http://cdn.akamai.steamstatic.com/steam/apps/256683493/movie_max.mp4?t=1493175841,612740
0,256698798,Scorb Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256698798/movie.293x165.jpg?t=1508795515,True,http://cdn.akamai.steamstatic.com/steam/apps/256698798/movie480.webm?t=1508795515,http://cdn.akamai.steamstatic.com/steam/apps/256698798/movie_max.webm?t=1508795515,http://cdn.akamai.steamstatic.com/steam/apps/256698798/movie480.mp4?t=1508795515,http://cdn.akamai.steamstatic.com/steam/apps/256698798/movie_max.mp4?t=1508795515,612750
0,256681857,Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681857/movie.293x165.jpg?t=1491282687,True,http://cdn.akamai.steamstatic.com/steam/apps/256681857/movie480.webm?t=1491282687,http://cdn.akamai.steamstatic.com/steam/apps/256681857/movie_max.webm?t=1491282687,http://cdn.akamai.steamstatic.com/steam/apps/256681857/movie480.mp4?t=1491282687,http://cdn.akamai.steamstatic.com/steam/apps/256681857/movie_max.mp4?t=1491282687,612790
