,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
1026,1026.0,1026.0,7.0,,,22,Steam Achievements,1871302
1027,1027.0,1027.0,8.0,,,29,Steam Trading Cards,1871302
1028,1028.0,1028.0,0.0,,,2,Single-player,1871310
1029,1029.0,1029.0,1.0,,,22,Steam Achievements,1871310
1030,1030.0,1030.0,0.0,,,2,Single-player,1871320
1031,1031.0,1031.0,1.0,,,10,Game demo,1871320
1032,1032.0,1032.0,2.0,,,22,Steam Achievements,1871320
1033,1033.0,1033.0,3.0,,,28,Full controller support,1871320
1034,1034.0,1034.0,4.0,,,23,Steam Cloud,1871320
1035,1035.0,1035.0,5.0,,,25,Steam Leaderboards,1871320
1036,1036.0,1036.0,0.0,,,2,Single-player,1871340
1037,1037.0,1037.0,0.0,,,2,Single-player,1871350
1038,1038.0,1038.0,0.0,,,50,Additional High-Quality Audio,1871380
1039,1039.0,1039.0,0.0,,,2,Single-player,1871410
1040,1040.0,1040.0,1.0,,,22,Steam Achievements,1871410
1041,1041.0,1041.0,2.0,,,17,Includes level editor,1871410
1042,1042.0,1042.0,0.0,,,2,Single-player,1871420
1043,1043.0,1043.0,0.0,,,2,Single-player,1871440
1044,1044.0,1044.0,1.0,,,1,Multi-player,1871440
1045,1045.0,1045.0,2.0,,,49,PvP,1871440
1046,1046.0,1046.0,3.0,,,36,Online PvP,1871440
1047,1047.0,1047.0,4.0,,,9,Co-op,1871440
1048,1048.0,1048.0,5.0,,,38,Online Co-op,1871440
1049,1049.0,1049.0,6.0,,,27,Cross-Platform Multiplayer,1871440
1050,1050.0,1050.0,7.0,,,22,Steam Achievements,1871440
1051,1051.0,1051.0,8.0,,,18,Partial Controller Support,1871440
1052,1052.0,1052.0,0.0,,,2,Single-player,1871450
1053,1053.0,1053.0,1.0,,,22,Steam Achievements,1871450
1054,1054.0,1054.0,2.0,,,17,Includes level editor,1871450
1055,1055.0,1055.0,0.0,,,2,Single-player,1870530
1056,1056.0,1056.0,1.0,,,10,Game demo,1870530
1057,1057.0,1057.0,0.0,,,1,Multi-player,1870540
