,steam_appid,name,title,description,selection_text,save_text,display_type,is_recurring_subscription,subs
0,612260,default,Buy Fernbus Simulator - Anniversary Repaint Package,,Select a purchase option,,0.0,false,"[{'packageid': 163850, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fernbus Simulator - Anniversary Repaint Package - 1,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 199}, {'packageid': 641481, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fernbus Simulator - Platinum Edition - 39,95€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 3995}]"
0,612261,default,Buy Fernbus Simulator - Austria/Switzerland,,Select a purchase option,,0.0,false,"[{'packageid': 163853, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fernbus Simulator - Austria/Switzerland - 19,95€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1995}]"
0,612300,default,Buy Sudden Strike Gold,,Select a purchase option,,0.0,false,"[{'packageid': 163865, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Sudden Strike Gold - 5,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 599}]"
0,612310,default,Buy GORB,,Select a purchase option,,0.0,false,"[{'packageid': 163868, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'GORB - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]"
0,612330,default,Buy Just Ignore Them - Game Soundtrack,,Select a purchase option,,0.0,false,"[{'packageid': 163874, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Just Ignore Them - Game Soundtrack - 1,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 199}]"
0,612370,default,Buy PAKO 2,,Select a purchase option,,0.0,false,"[{'packageid': 163889, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'PAKO 2 - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,612380,default,Buy Cryptocracy,,Select a purchase option,,0.0,false,"[{'packageid': 163892, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Cryptocracy - 0,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 99}]"
0,612390,default,Buy Dandara: Trials of Fear Edition,,Select a purchase option,,0.0,false,"[{'packageid': 163895, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Dandara: Trials of Fear Edition - 14,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1499}]"
0,611620,default,Buy TheNightfall,,Select a purchase option,,0.0,false,"[{'packageid': 163638, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'TheNightfall - 22,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 2299}]"
0,611630,default,Buy Grave Chase,,Select a purchase option,,0.0,false,"[{'packageid': 163641, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Grave Chase - 5,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 599}]"
0,611660,default,Buy Fallout 4 VR,,Select a purchase option,,0.0,false,"[{'packageid': 163647, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fallout 4 VR - 59,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 5999}]"
0,611670,default,Buy The Elder Scrolls V: Skyrim VR,,Select a purchase option,,0.0,false,"[{'packageid': 163650, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'The Elder Scrolls V: Skyrim VR - 59,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 5999}]"
0,611690,default,Buy Invicta Beam,,Select a purchase option,,0.0,false,"[{'packageid': 163657, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Invicta Beam - 8,19€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 819}, {'packageid': 258277, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Invicta Beam - Commercial License - 16,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1679}]"
0,611710,default,Buy Kaiju Big Battel: Fighto Fantasy,,Select a purchase option,,0.0,false,"[{'packageid': 163664, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Kaiju Big Battel: Fighto Fantasy - 9,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}]"
0,611720,default,Buy Practisim VR,,Select a purchase option,,0.0,false,"[{'packageid': 163667, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Practisim VR - 15,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1599}]"
0,611730,default,Buy Galactic Feud,,Select a purchase option,,0.0,false,"[{'packageid': 163670, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Galactic Feud - 9,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}]"
0,611740,default,Buy Stories Untold Official Soundtrack,,Select a purchase option,,0.0,false,"[{'packageid': 163673, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Stories Untold Official Soundtrack - 1,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 199}]"
0,611750,default,Buy Welcome to Hanwell,,Select a purchase option,,0.0,false,"[{'packageid': 252220, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Welcome to Hanwell - 12,49€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1249}]"
0,611760,default,Buy Don't Escape: 4 Days to Survive,,Select a purchase option,,0.0,false,"[{'packageid': 163679, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': ""Don't Escape: 4 Days to Survive - 14,99€"", 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1499}]"
0,611770,default,Buy Void Source,,Select a purchase option,,0.0,false,"[{'packageid': 163682, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Void Source - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,611790,default,Buy House Party,,Select a purchase option,,0.0,false,"[{'packageid': 163688, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'House Party - 20,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 2099}]"
0,611810,default,Buy THE LAST HUNT,,Select a purchase option,,0.0,false,"[{'packageid': 163694, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'THE LAST HUNT - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,611830,default,Buy Park Bound,,Select a purchase option,,0.0,false,"[{'packageid': 163700, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Park Bound - 14,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1499}]"
0,611850,default,Buy Tragedy of Prince Rupert,,Select a purchase option,,0.0,false,"[{'packageid': 163703, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Tragedy of Prince Rupert - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,611860,default,Buy Aborigenus,,Select a purchase option,,0.0,false,"[{'packageid': 163706, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Aborigenus - 3,29€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 329}]"
0,611950,default,Buy Yozora Rhapsody Soundtrack,,Select a purchase option,,0.0,false,"[{'packageid': 163756, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Yozora Rhapsody Soundtrack - 0,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 99}]"
